ds100,name,lat,lon,elevation_m
DKTW,Köttewitz,50.9451799,13.8597155,175.0
FKIH,Kirchhain (Bz Kassel),50.8238303,8.9224026,211.0
FSTA,Stadtallendorf,50.8250128,9.0155689,241.0
FNSM,Neustadt(Kr Marburg),50.8504742,9.1208071,250.0
FWRA,Schwalmstadt-Wiera,50.8816801,9.1361555,254.0
FSBA,Schlierbach (Schwalm-Eder-Kreis),50.9692131,9.2011741,201.0
FABL,Felsberg-Altenbrunslar,51.1651194,9.4454611,164.0
FGRF,Edermünde-Grifte,51.2096344,9.4494354,153.0
FRUE,Rüsselsheim,49.991701,8.4138251,94.0
BJLB,Julius-Leber-Brücke,52.4865053,13.3611679,52.0
RWRT,Wörth (Rhein),49.0456919,8.2731506,106.0
RLA,Landau (Pfalz) Hauptbahnhof,49.1979317,8.1261523,142.0
SHO,Homburg (Saar) Hauptbahnhof,49.3278137,7.3365309,243.0
SHPT,Hauptstuhl,49.4019889,7.4916013,236.0
MBUH,Burghausen (Oberbay),48.1739944,12.8283355,420.0
LWZE,Wetterzeube,51.0083876,12.0127449,181.0
HLMF,Lemförde,52.4597761,8.3613083,43.0
HBNF,Barnstorf,52.7074019,8.5101934,34.0
THMD,Heimerdingen,48.8515173,8.9861966,389.0
FGSN,Grebenstein,51.4476491,9.420087,191.0
TWSS,Weissach,48.8464695,8.9337905,353.0
RNID,Niederwinden,48.1395497,8.0227419,319.0
ROD,Oberwinden (Elztal),48.1525859,8.0450698,338.0
NALB,Allersberg (Rothsee),49.2617946,11.2126676,394.0
DGEI,Geising,50.7606953,13.7861928,593.0
AFRG,Friedrichsgabe,53.7289431,9.9888413,38.0
FWR,Wetzlar,50.565262,8.5039213,152.0
TKTO,Kirchheim (Teck)-Ötlingen,48.6577926,9.4163321,289.0
BRU,Ruhland,51.4552602,13.8701069,102.0
RROP,Riegel Ort,48.1541764,7.7493469,179.0
TGEW,Gemmingen West,49.1546274,8.977206,219.0
TGEM,Gemmingen,49.1514214,8.9842751,219.0
TSHG,Stetten am Heuchelberg,49.136869,9.0147874,216.0
TSWG,Schwaigern (Württ.),49.1383736,9.0566524,186.0
TSWO,Schwaigern Ost,49.1406271,9.0693899,182.0
TLGW,Leingarten West,49.1459904,9.1059566,176.0
TLGO,Leingarten Ost,49.1442492,9.1308165,169.0
RITL,Ittlingen,49.1875904,8.9344662,181.0
WNA,Neetzka,53.5335264,13.5005972,89.0
WSP,Sponholz,53.5638586,13.3663556,50.0
FBUN,Burg (Dillkr.) Nord,50.7002857,8.3074942,213.0
FHRB,Herborn (Dillkr),50.6845372,8.3080615,207.0
FORA,Ober-Ramstadt,49.8320201,8.7439982,225.0
FBDG,Büdingen (Oberhess),50.2888414,9.1017249,136.0
BAS,Albrechtshof,52.5493097,13.1292803,36.0
FMF,Mörfelden,49.9790298,8.5654439,104.0
HBER,Berne,53.1836829,8.4753993,1.0
TFIL,Filderstadt,48.6764343,9.2177498,376.0
